index,Date,Open,High,Low,Close,Volume
798,3/9/2015,0.5323871,0.5369115,0.5394189,0.1048606,0.0422187
799,3/10/2015,0.5275504,0.5268082,0.5227875,0.0858426,0.0714618
800,3/11/2015,0.5106407,0.5143145,0.5151349,0.0805783,0.0725991
801,3/12/2015,0.5076085,0.5110277,0.5147181,0.0865317,0.0553344
802,3/13/2015,0.5075899,0.5148001,0.5029361,0.0752725,0.0679055
803,3/16/2015,0.5028648,0.5119241,0.5063078,0.0851536,0.0653985
804,3/17/2015,0.5042786,0.5062282,0.5100773,0.0801097,0.0719904
805,3/18/2015,0.5057482,0.5173773,0.5081831,0.0920166,0.0851662
806,3/19/2015,0.5185282,0.5192635,0.5254584,0.0899356,0.0476292
807,3/20/2015,0.5227137,0.5209816,0.5309517,0.0932018,0.1044814
808,3/23/2015,0.5204628,0.5221768,0.5248712,0.0910657,0.0655146
809,3/24/2015,0.5244066,0.5449605,0.5350242,0.1067073,0.1031358
810,3/25/2015,0.5391398,0.5406092,0.5303644,0.0910381,0.0858751
811,3/26/2015,0.5151797,0.5157338,0.515078,0.0860631,0.0626632
812,3/27/2015,0.5066783,0.5089921,0.5103235,0.0766782,0.0756708
813,3/30/2015,0.5041112,0.5056119,0.5103993,0.0817497,0.0512455
814,3/31/2015,0.5010976,0.5079276,0.5076527,0.0762096,0.0632799
815,4/1/2015,0.4985118,0.5012793,0.4940142,0.0687265,0.078298
816,4/2/2015,0.484132,0.4821185,0.4833497,0.0590659,0.0684181
817,4/6/2015,0.4681152,0.4775804,0.4752614,0.0607748,0.0527233
818,4/7/2015,0.4789977,0.4855361,0.4874034,0.0611193,0.0518582
819,4/8/2015,0.4795558,0.4877024,0.4919117,0.0674311,0.0468803
820,4/9/2015,0.4844669,0.4841728,0.4864373,0.0662872,0.0620705
821,4/10/2015,0.4868108,0.4848077,0.4898848,0.0652261,0.0561274
822,4/13/2015,0.4796116,0.4880946,0.4898848,0.0640685,0.0655747
823,4/14/2015,0.4755934,0.4760117,0.4724769,0.05201,0.1039728
824,4/15/2015,0.4615857,0.4707267,0.463271,0.0549454,0.0925471
825,4/16/2015,0.463818,0.472314,0.4753372,0.0566956,0.0517381
826,4/17/2015,0.4615113,0.4616132,0.4590847,0.0433003,0.085859
827,4/20/2015,0.4558375,0.4732478,0.4656766,0.0588592,0.0669323
828,4/21/2015,0.4779373,0.4793919,0.4830088,0.0569298,0.0735603
829,4/22/2015,0.4721705,0.482548,0.4793719,0.0643441,0.0635002
830,4/23/2015,0.484411,0.5009431,0.495397,0.0748315,0.1672767
831,4/24/2015,0.5309733,0.5385362,0.5275421,0.0996513,0.1972207
832,4/27/2015,0.5288154,0.5317571,0.5227686,0.0884335,0.0957189
833,4/28/2015,0.5125381,0.5132127,0.5174079,0.0861045,0.0593953
834,4/29/2015,0.5047809,0.5088427,0.5108539,0.0797652,0.0677173
835,4/30/2015,0.4999442,0.499337,0.4883884,0.0635861,0.0830717
836,5/1/2015,0.4823834,0.482436,0.4828004,0.0643579,0.0704966
837,5/4/2015,0.4825694,0.4908958,0.4884073,0.0683268,0.0520665
838,5/5/2015,0.4819741,0.4828095,0.4795613,0.0545733,0.0550741
839,5/6/2015,0.4690081,0.4690646,0.461945,0.0455053,0.0624389
